timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777970110981,5845,HTTP Request,500,Internal Server Error,Config 3: Exp15 1-5,text,false,,233,158,16,16,http://localhost:8079/?token=518504778&user=-1355064518&config=3,5844,0,1
1777970111474,5352,HTTP Request,500,Internal Server Error,Config 3: Exp15 1-6,text,false,,233,158,16,16,http://localhost:8079/?token=518504778&user=-1355064518&config=3,5352,0,1
1777970109500,9830,HTTP Request,200,OK,Config 3: Exp15 1-2,text,true,,231,158,21,21,http://localhost:8079/?token=518504778&user=-1355064518&config=3,9830,0,0
1777970109992,9338,HTTP Request,200,OK,Config 3: Exp15 1-3,text,true,,231,158,21,21,http://localhost:8079/?token=518504778&user=-1355064518&config=3,9338,0,1
1777970109006,10324,HTTP Request,200,OK,Config 3: Exp15 1-1,text,true,,231,158,21,21,http://localhost:8079/?token=518504778&user=-1355064518&config=3,10324,0,1
1777970110486,8845,HTTP Request,200,OK,Config 3: Exp15 1-4,text,true,,231,158,21,21,http://localhost:8079/?token=518504778&user=-1355064518&config=3,8845,0,1
1777970112463,7331,HTTP Request,200,OK,Config 3: Exp15 1-8,text,true,,231,158,22,22,http://localhost:8079/?token=518504778&user=-1355064518&config=3,7331,0,1
1777970111968,7826,HTTP Request,200,OK,Config 3: Exp15 1-7,text,true,,231,158,22,22,http://localhost:8079/?token=518504778&user=-1355064518&config=3,7826,0,1
1777970112957,6838,HTTP Request,200,OK,Config 3: Exp15 1-9,text,true,,231,158,22,22,http://localhost:8079/?token=518504778&user=-1355064518&config=3,6838,0,1
1777970113450,6345,HTTP Request,200,OK,Config 3: Exp15 1-10,text,true,,231,158,22,22,http://localhost:8079/?token=518504778&user=-1355064518&config=3,6345,0,0
1777970113945,5850,HTTP Request,200,OK,Config 3: Exp15 1-11,text,true,,231,158,22,22,http://localhost:8079/?token=518504778&user=-1355064518&config=3,5850,0,1
1777970114440,7664,HTTP Request,200,OK,Config 3: Exp15 1-12,text,true,,231,158,27,27,http://localhost:8079/?token=518504778&user=-1355064518&config=3,7664,0,0
1777970114932,11240,HTTP Request,200,OK,Config 3: Exp15 1-13,text,true,,231,158,35,35,http://localhost:8079/?token=518504778&user=-1355064518&config=3,11240,0,1
1777970117403,8778,HTTP Request,200,OK,Config 3: Exp15 1-18,text,true,,231,158,35,35,http://localhost:8079/?token=518504778&user=-1355064518&config=3,8778,0,0
1777970116826,9355,HTTP Request,200,OK,Config 3: Exp15 1-6,text,true,,231,158,35,35,http://localhost:8079/?token=518504778&user=-1355064518&config=3,9355,0,0
1777970116907,9274,HTTP Request,200,OK,Config 3: Exp15 1-17,text,true,,231,158,35,35,http://localhost:8079/?token=518504778&user=-1355064518&config=3,9274,0,0
1777970116826,9355,HTTP Request,200,OK,Config 3: Exp15 1-5,text,true,,231,158,35,35,http://localhost:8079/?token=518504778&user=-1355064518&config=3,9355,0,0
1777970119331,6850,HTTP Request,500,Internal Server Error,Config 3: Exp15 1-2,text,false,,233,158,35,35,http://localhost:8079/?token=518504778&user=-1355064518&config=3,6850,0,0
1777970119331,6850,HTTP Request,500,Internal Server Error,Config 3: Exp15 1-1,text,false,,233,158,35,35,http://localhost:8079/?token=518504778&user=-1355064518&config=3,6850,0,0
1777970119331,6855,HTTP Request,500,Internal Server Error,Config 3: Exp15 1-3,text,false,,233,158,35,35,http://localhost:8079/?token=518504778&user=-1355064518&config=3,6855,0,0
1777970119331,6855,HTTP Request,500,Internal Server Error,Config 3: Exp15 1-4,text,false,,233,158,35,35,http://localhost:8079/?token=518504778&user=-1355064518&config=3,6855,0,0
1777970119378,6808,HTTP Request,500,Internal Server Error,Config 3: Exp15 1-22,text,false,,233,158,35,35,http://localhost:8079/?token=518504778&user=-1355064518&config=3,6808,0,0
1777970115921,12381,HTTP Request,200,OK,Config 3: Exp15 1-15,text,true,,231,158,40,40,http://localhost:8079/?token=518504778&user=-1355064518&config=3,12381,0,0
1777970116415,11887,HTTP Request,200,OK,Config 3: Exp15 1-16,text,true,,231,158,40,40,http://localhost:8079/?token=518504778&user=-1355064518&config=3,11887,0,0
1777970115427,12876,HTTP Request,200,OK,Config 3: Exp15 1-14,text,true,,231,158,40,40,http://localhost:8079/?token=518504778&user=-1355064518&config=3,12876,0,0
1777970117896,10621,HTTP Request,200,OK,Config 3: Exp15 1-19,text,true,,231,158,40,40,http://localhost:8079/?token=518504778&user=-1355064518&config=3,10621,0,1
1777970118390,10127,HTTP Request,200,OK,Config 3: Exp15 1-20,text,true,,231,158,40,40,http://localhost:8079/?token=518504778&user=-1355064518&config=3,10127,0,1
1777970118884,9633,HTTP Request,200,OK,Config 3: Exp15 1-21,text,true,,231,158,40,40,http://localhost:8079/?token=518504778&user=-1355064518&config=3,9633,0,0
1777970119794,12822,HTTP Request,200,OK,Config 3: Exp15 1-8,text,true,,231,158,48,48,http://localhost:8079/?token=518504778&user=-1355064518&config=3,12822,0,0
1777970119795,15809,HTTP Request,200,OK,Config 3: Exp15 1-11,text,true,,231,158,54,54,http://localhost:8079/?token=518504778&user=-1355064518&config=3,15809,0,0
1777970119794,16978,HTTP Request,200,OK,Config 3: Exp15 1-7,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,16978,0,0
1777970119795,16977,HTTP Request,200,OK,Config 3: Exp15 1-9,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,16977,0,0
1777970119795,16977,HTTP Request,200,OK,Config 3: Exp15 1-10,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,16977,0,0
1777970119873,16899,HTTP Request,200,OK,Config 3: Exp15 1-23,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,16899,0,1
1777970122104,14673,HTTP Request,200,OK,Config 3: Exp15 1-12,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,14673,0,0
1777970120367,16410,HTTP Request,200,OK,Config 3: Exp15 1-24,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,16410,0,0
1777970121355,15422,HTTP Request,200,OK,Config 3: Exp15 1-26,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,15422,0,1
1777970122342,14435,HTTP Request,200,OK,Config 3: Exp15 1-28,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,14435,0,1
1777970121849,14928,HTTP Request,200,OK,Config 3: Exp15 1-27,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,14928,0,1
1777970120861,15916,HTTP Request,200,OK,Config 3: Exp15 1-25,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,15916,0,0
1777970122837,13943,HTTP Request,200,OK,Config 3: Exp15 1-29,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,13943,0,0
1777970123330,13450,HTTP Request,200,OK,Config 3: Exp15 1-30,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,13450,0,1
1777970123825,12956,HTTP Request,200,OK,Config 3: Exp15 1-31,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,12956,0,0
1777970124814,11970,HTTP Request,200,OK,Config 3: Exp15 1-33,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,11970,0,1
1777970124320,12464,HTTP Request,200,OK,Config 3: Exp15 1-32,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,12464,0,0
1777970125308,11476,HTTP Request,200,OK,Config 3: Exp15 1-34,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,11476,0,1
1777970125802,10982,HTTP Request,200,OK,Config 3: Exp15 1-35,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,10982,0,0
1777970126182,10603,HTTP Request,200,OK,Config 3: Exp15 1-17,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,10603,0,0
1777970126174,10611,HTTP Request,200,OK,Config 3: Exp15 1-13,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,10611,0,0
1777970126182,10604,HTTP Request,200,OK,Config 3: Exp15 1-6,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,10604,0,0
1777970126182,10604,HTTP Request,200,OK,Config 3: Exp15 1-5,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,10604,0,0
1777970126182,10606,HTTP Request,200,OK,Config 3: Exp15 1-2,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,10606,0,0
1777970126182,10606,HTTP Request,200,OK,Config 3: Exp15 1-18,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,10606,0,0
1777970126187,10601,HTTP Request,200,OK,Config 3: Exp15 1-3,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,10601,0,1
1777970126182,10606,HTTP Request,200,OK,Config 3: Exp15 1-1,text,true,,231,158,57,57,http://localhost:8079/?token=518504778&user=-1355064518&config=3,10606,0,0
