timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777917901516,566,Config 3,200,OK,Config 3 3-1,text,true,,231,158,1,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,566,0,0
1777917904516,560,Config 3,200,OK,Config 3 3-1,text,true,,231,158,1,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,560,0,0
1777917907514,535,Config 3,200,OK,Config 3 3-1,text,true,,231,158,1,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,535,0,0
1777917910514,607,Config 3,200,OK,Config 3 3-1,text,true,,231,158,1,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,607,0,0
1777917913515,554,Config 3,200,OK,Config 3 3-1,text,true,,231,158,2,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,554,0,0
1777917913516,584,Config 3,200,OK,Config 3 3-2,text,true,,231,158,2,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,584,0,1
1777917916516,547,Config 3,200,OK,Config 3 3-1,text,true,,231,158,2,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,547,0,0
1777917916517,546,Config 3,200,OK,Config 3 3-2,text,true,,231,158,2,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,546,0,0
1777917919515,536,Config 3,200,OK,Config 3 3-1,text,true,,231,158,2,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,536,0,0
1777917919517,535,Config 3,200,OK,Config 3 3-2,text,true,,231,158,2,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,535,0,0
1777917922516,559,Config 3,200,OK,Config 3 3-1,text,true,,231,158,2,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,559,0,0
1777917922517,558,Config 3,200,OK,Config 3 3-2,text,true,,231,158,2,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,558,0,0
1777917925516,557,Config 3,200,OK,Config 3 3-1,text,true,,231,158,3,9,http://localhost:8079/?token=518504778&user=-1355064518&config=3,557,0,0
1777917925516,557,Config 3,200,OK,Config 3 3-2,text,true,,231,158,3,9,http://localhost:8079/?token=518504778&user=-1355064518&config=3,557,0,0
1777917925516,596,Config 3,200,OK,Config 3 3-3,text,true,,231,158,3,9,http://localhost:8079/?token=518504778&user=-1355064518&config=3,596,0,1
1777917928516,558,Config 3,200,OK,Config 3 3-2,text,true,,231,158,3,9,http://localhost:8079/?token=518504778&user=-1355064518&config=3,558,0,0
1777917928517,557,Config 3,200,OK,Config 3 3-3,text,true,,231,158,3,9,http://localhost:8079/?token=518504778&user=-1355064518&config=3,557,0,0
1777917928516,559,Config 3,200,OK,Config 3 3-1,text,true,,231,158,3,9,http://localhost:8079/?token=518504778&user=-1355064518&config=3,559,0,0
1777917931516,560,Config 3,200,OK,Config 3 3-2,text,true,,231,158,2,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,560,0,0
1777917931517,559,Config 3,200,OK,Config 3 3-3,text,true,,231,158,2,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,559,0,0
1777917934517,567,Config 3,200,OK,Config 3 3-3,text,true,,231,158,2,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,567,0,0
1777917934517,567,Config 3,200,OK,Config 3 3-2,text,true,,231,158,2,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,567,0,0
1777917937516,565,Config 3,200,OK,Config 3 3-2,text,true,,231,158,3,9,http://localhost:8079/?token=518504778&user=-1355064518&config=3,565,0,0
1777917937517,565,Config 3,200,OK,Config 3 3-3,text,true,,231,158,3,9,http://localhost:8079/?token=518504778&user=-1355064518&config=3,565,0,0
1777917937517,585,Config 3,200,OK,Config 3 3-4,text,true,,231,158,3,9,http://localhost:8079/?token=518504778&user=-1355064518&config=3,585,0,0
1777917940516,560,Config 3,200,OK,Config 3 3-3,text,true,,231,158,3,9,http://localhost:8079/?token=518504778&user=-1355064518&config=3,560,0,0
